"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
19301,490057,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,0,2,3,3,1,1,0,1,1,2,2,2
22213,490059,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,3,3,4,1,1,1,1,1,2,2,2
12992,490060,376,45.94,75,1.01,44.42,0.95,0.24,16.05,18.16,4.7,11.74,63.59,12.49,2.336278630683,81.80876443,119.64186473,2,0,0,4,0,0,1,0,0,2,3,2
23064,490063,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,2,3,3,3,1,1,1,1,1,3,2,3
16773,490066,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,0,1,0,4,1,1,0,1,1,1,2,2
19252,490067,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,2,1,1,2,1,0,1,0,0,1,3,2
20186,490069,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,0,3,2,4,1,,1,1,,1,2,2
20173,490075,312,33.05,75,0.99,42.92,21.53,0.99,16.28,17.08,5.51,8.03,67.65,6.44,1.90968152984,66.07358649,138.8056474,2,1,3,1,1,,1,0,,2,3,2
18414,490077,427,15.04,75,0.88,44.48,5.95,0.7,6.01,15.19,4.66,7.13,74.87,3.42,1.696987067553,72.239984161,134.2461702,0,1,3,3,1,1,0,1,1,1,2,2
19255,490079,312,33.05,75,0.99,42.92,21.53,0.99,16.28,17.08,5.51,8.03,67.65,6.44,1.90968152984,66.07358649,138.8056474,1,1,2,2,0,0,1,0,0,1,3,2
17554,490084,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,0,1,0,4,0,0,1,1,1,1,2,1
13959,490088,428,16.95,75,0.92,43.33,13.58,0.41,10.03,17.02,6.12,8.44,60.69,7.31,2.310879122,74.896381365,118.80585945,0,0,3,3,1,1,1,1,0,1,2,2
13885,490089,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,1,0,0,3,1,1,1,0,0,1,2,1
17475,490090,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,3,0,2,3,0,1,1,1,0,1,2,2
13689,490092,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,2,0,2,3,0,,1,0,,1,3,2
19656,490093,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,1,2,3,3,1,1,0,1,1,1,2,2
12573,490094,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,3,0,2,3,1,1,1,1,1,1,2,2
16116,490097,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,2,0,0,2,0,0,1,0,0,1,3,1
15988,490098,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,2,0,2,3,0,1,1,1,0,1,2,2
17872,490101,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,1,1,0,4,1,1,1,1,1,1,2,2
20624,490107,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,0,3,0,2,1,0,1,1,0,1,2,2
